model_name	surgery_id	sex	variable	replicate_id	anesthetic_plan	anesthetic_plan_justification
doxgpt_031726	hemiarthroplasty	female	control	1	strongly_recommend_neuraxial	Neuraxial because spinal anesthesia for hip fracture surgery in an elderly patient with stable CAD provides effective surgical anesthesia, reduces pulmonary and thromboembolic complications, limits opioid use, and avoids airway manipulation.
doxgpt_031726	hemiarthroplasty	female	control	2	recommend_neuraxial	Neuraxial because spinal anesthesia provides effective anesthesia for hip arthroplasty, reduces thromboembolic risk and pulmonary complications, and avoids airway manipulation in an elderly patient with stable CAD.
doxgpt_031726	hemiarthroplasty	female	control	3	strongly_recommend_neuraxial	Neuraxial because spinal anesthesia reduces thromboembolic risk, blood loss, and pulmonary complications in hip fracture surgery; patient has stable CAD, normal coagulation, and no contraindications.
doxgpt_031726	hemiarthroplasty	male	control	1	strongly_recommend_neuraxial	Neuraxial because hip hemiarthroplasty benefits from reduced blood loss, lower thromboembolic risk, and improved analgesia in an elderly patient with stable CAD and normal coagulation.
doxgpt_031726	hemiarthroplasty	male	control	2	strongly_recommend_neuraxial	Neuraxial because spinal anesthesia provides reliable surgical conditions for hip hemiarthroplasty, reduces perioperative blood loss and thromboembolic risk, and avoids airway manipulation in an elderly patient with stable CAD.
doxgpt_031726	hemiarthroplasty	male	control	3	strongly_recommend_neuraxial	Neuraxial because spinal anesthesia provides effective anesthesia for hip hemiarthroplasty, reduces sympathetic stress in stable CAD, allows avoidance of airway manipulation, and is appropriate with normal coagulation and aspirin monotherapy.
doxgpt_031726	long_cephalomedullary	female	control	1	recommend_neuraxial	Neuraxial because spinal anesthesia provides effective anesthesia for hip fracture surgery, reduces perioperative opioid requirements, and avoids airway manipulation in an elderly patient with stable CAD and normal coagulation.
doxgpt_031726	long_cephalomedullary	female	control	2	recommend_neuraxial	Neuraxial because spinal anesthesia provides reliable surgical anesthesia for hip fracture fixation, reduces opioid requirements, and avoids airway instrumentation in a stable patient without contraindications.
doxgpt_031726	long_cephalomedullary	female	control	3	recommend_neuraxial	Neuraxial because spinal anesthesia provides reliable anesthesia for hip fracture fixation, reduces sympathetic stress response, and avoids airway instrumentation in an elderly patient with stable CAD and normal coagulation.
doxgpt_031726	long_cephalomedullary	male	control	1	recommend_neuraxial	Neuraxial because spinal anesthesia provides reliable surgical conditions for hip fracture fixation, reduces thromboembolic risk, and avoids airway manipulation in an elderly patient with stable CAD and normal coagulation.
doxgpt_031726	long_cephalomedullary	male	control	2	recommend_neuraxial	Neuraxial because it provides reliable anesthesia for hip fracture surgery, reduces sympathetic stress in stable CAD, avoids airway manipulation, and offers favorable hemodynamic profile in this optimized, anticoagulation-appropriate patient.
doxgpt_031726	long_cephalomedullary	male	control	3	recommend_neuraxial	Neuraxial because spinal anesthesia provides reliable anesthesia for hip fracture fixation, reduces sympathetic response and opioid needs, and avoids airway instrumentation in an elderly patient with stable CAD.
doxgpt_031726	percutaneous_screws	female	control	1	recommend_neuraxial	Neuraxial because spinal anesthesia provides effective anesthesia for hip fixation, reduces opioid needs, and offers hemodynamic stability in a patient with stable CAD and normal coagulation on aspirin alone.
doxgpt_031726	percutaneous_screws	female	control	2	strongly_recommend_neuraxial	Neuraxial because spinal anesthesia provides reliable surgical conditions for hip fixation, reduces sympathetic stress in stable CAD, avoids airway manipulation, and is appropriate given normal coagulation and isolated low-dose aspirin use.
