"model_name","surgery_id","ga_airway","n","total","percentage"
"deepseek","total_hip","ETT",20,20,100
"deepseek","hemiarthroplasty","ETT",62,62,100
"deepseek","long_cephalomedullary","ETT",1159,1159,100
"deepseek","short_cephalomedullary","ETT",502,502,100
"deepseek","sliding_hip_screw","ETT",217,217,100
"deepseek","percutaneous_screws","LMA",16,193,8.3
"deepseek","percutaneous_screws","ETT",177,193,91.7
"gemini-2.5-flash-preview-09-2025","total_hip","LMA",289,362,79.8
"gemini-2.5-flash-preview-09-2025","total_hip","ETT",73,362,20.2
"gemini-2.5-flash-preview-09-2025","hemiarthroplasty","LMA",316,414,76.3
"gemini-2.5-flash-preview-09-2025","hemiarthroplasty","ETT",98,414,23.7
"gemini-2.5-flash-preview-09-2025","long_cephalomedullary","LMA",651,793,82.1
"gemini-2.5-flash-preview-09-2025","long_cephalomedullary","ETT",142,793,17.9
"gemini-2.5-flash-preview-09-2025","short_cephalomedullary","LMA",276,313,88.2
"gemini-2.5-flash-preview-09-2025","short_cephalomedullary","ETT",37,313,11.8
"gemini-2.5-flash-preview-09-2025","sliding_hip_screw","LMA",252,272,92.6
"gemini-2.5-flash-preview-09-2025","sliding_hip_screw","ETT",20,272,7.4
"gemini-2.5-flash-preview-09-2025","percutaneous_screws","LMA",403,422,95.5
"gemini-2.5-flash-preview-09-2025","percutaneous_screws","ETT",19,422,4.5
"gpt-5-2025-08-07","total_hip","ETT",248,248,100
"gpt-5-2025-08-07","hemiarthroplasty","ETT",217,217,100
"gpt-5-2025-08-07","long_cephalomedullary","ETT",264,264,100
"gpt-5-2025-08-07","short_cephalomedullary","LMA",30,233,12.9
"gpt-5-2025-08-07","short_cephalomedullary","ETT",203,233,87.1
"gpt-5-2025-08-07","sliding_hip_screw","LMA",13,196,6.6
"gpt-5-2025-08-07","sliding_hip_screw","ETT",183,196,93.4
"gpt-5-2025-08-07","percutaneous_screws","LMA",193,260,74.2
"gpt-5-2025-08-07","percutaneous_screws","ETT",67,260,25.8
"gpt-5-mini-2025-08-07","total_hip","ETT",243,243,100
"gpt-5-mini-2025-08-07","hemiarthroplasty","ETT",229,229,100
"gpt-5-mini-2025-08-07","long_cephalomedullary","ETT",454,454,100
"gpt-5-mini-2025-08-07","short_cephalomedullary","ETT",290,290,100
"gpt-5-mini-2025-08-07","sliding_hip_screw","ETT",271,271,100
"gpt-5-mini-2025-08-07","percutaneous_screws","LMA",10,279,3.6
"gpt-5-mini-2025-08-07","percutaneous_screws","ETT",269,279,96.4
"gpt-5-nano-2025-08-07","total_hip","ETT",200,200,100
"gpt-5-nano-2025-08-07","hemiarthroplasty","LMA",2,199,1
"gpt-5-nano-2025-08-07","hemiarthroplasty","ETT",197,199,99
"gpt-5-nano-2025-08-07","long_cephalomedullary","ETT",203,203,100
"gpt-5-nano-2025-08-07","short_cephalomedullary","ETT",205,205,100
"gpt-5-nano-2025-08-07","sliding_hip_screw","ETT",205,205,100
"gpt-5-nano-2025-08-07","percutaneous_screws","LMA",12,223,5.4
"gpt-5-nano-2025-08-07","percutaneous_screws","ETT",211,223,94.6
