"model_name","sex","ga_airway","n","total","percentage"
"deepseek","male","LMA",8,1186,0.7
"deepseek","male","ETT",1178,1186,99.3
"deepseek","female","LMA",8,967,0.8
"deepseek","female","ETT",959,967,99.2
"gemini-2.5-flash-preview-09-2025","male","LMA",1076,1281,84
"gemini-2.5-flash-preview-09-2025","male","ETT",205,1281,16
"gemini-2.5-flash-preview-09-2025","female","LMA",1111,1295,85.8
"gemini-2.5-flash-preview-09-2025","female","ETT",184,1295,14.2
"gpt-5-2025-08-07","male","LMA",115,713,16.1
"gpt-5-2025-08-07","male","ETT",598,713,83.9
"gpt-5-2025-08-07","female","LMA",121,705,17.2
"gpt-5-2025-08-07","female","ETT",584,705,82.8
"gpt-5-mini-2025-08-07","male","LMA",4,881,0.5
"gpt-5-mini-2025-08-07","male","ETT",877,881,99.5
"gpt-5-mini-2025-08-07","female","LMA",6,885,0.7
"gpt-5-mini-2025-08-07","female","ETT",879,885,99.3
"gpt-5-nano-2025-08-07","male","LMA",10,622,1.6
"gpt-5-nano-2025-08-07","male","ETT",612,622,98.4
"gpt-5-nano-2025-08-07","female","LMA",4,613,0.7
"gpt-5-nano-2025-08-07","female","ETT",609,613,99.3
