model,plan,topic,count,total_applicable,prevalence,prevalence_pct,note
deepseek,General,age,10,103,0.0970873786407767,9.70873786407767,Excludes variable=preference_ga
deepseek,Neuraxial,age,483,497,0.971830985915493,97.1830985915493,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,age,0,36,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,age,372,564,0.6595744680851063,65.95744680851064,Excludes variable=preference_ga
gpt-5-2025-08-07,General,age,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,age,352,600,0.5866666666666667,58.666666666666664,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,age,3,7,0.42857142857142855,42.857142857142854,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,age,498,593,0.8397976391231029,83.97976391231029,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,age,0,2,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,age,464,598,0.7759197324414716,77.59197324414716,Excludes variable=preference_ga
deepseek,General,airway_control,45,103,0.4368932038834951,43.689320388349515,Excludes variable=preference_ga
deepseek,Neuraxial,airway_control,0,497,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,airway_control,2,36,0.05555555555555555,5.555555555555555,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,airway_control,0,564,0.0,0.0,Excludes variable=preference_ga
gpt-5-2025-08-07,General,airway_control,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,airway_control,0,600,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,airway_control,7,7,1.0,100.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,airway_control,0,593,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,airway_control,1,2,0.5,50.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,airway_control,0,598,0.0,0.0,Excludes variable=preference_ga
deepseek,General,bleeding_risk,6,103,0.05825242718446602,5.825242718446602,Excludes variable=preference_ga
deepseek,Neuraxial,bleeding_risk,0,497,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,bleeding_risk,0,36,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,bleeding_risk,30,564,0.05319148936170213,5.319148936170213,Excludes variable=preference_ga
gpt-5-2025-08-07,General,bleeding_risk,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,bleeding_risk,28,600,0.04666666666666667,4.666666666666667,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,bleeding_risk,0,7,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,bleeding_risk,56,593,0.09443507588532883,9.443507588532883,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,bleeding_risk,1,2,0.5,50.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,bleeding_risk,16,598,0.026755852842809364,2.6755852842809364,Excludes variable=preference_ga
deepseek,General,delirium_prevention,0,103,0.0,0.0,"Excludes variable=delirium, preference_ga"
deepseek,Neuraxial,delirium_prevention,77,497,0.15492957746478872,15.492957746478872,"Excludes variable=delirium, preference_ga"
gemini-2.5-flash-preview-09-2025,General,delirium_prevention,0,36,0.0,0.0,"Excludes variable=delirium, preference_ga"
gemini-2.5-flash-preview-09-2025,Neuraxial,delirium_prevention,349,564,0.6187943262411347,61.87943262411347,"Excludes variable=delirium, preference_ga"
gpt-5-2025-08-07,General,delirium_prevention,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,delirium_prevention,123,600,0.205,20.5,"Excludes variable=delirium, preference_ga"
gpt-5-mini-2025-08-07,General,delirium_prevention,0,7,0.0,0.0,"Excludes variable=delirium, preference_ga"
gpt-5-mini-2025-08-07,Neuraxial,delirium_prevention,49,593,0.08263069139966273,8.263069139966273,"Excludes variable=delirium, preference_ga"
gpt-5-nano-2025-08-07,General,delirium_prevention,0,2,0.0,0.0,"Excludes variable=delirium, preference_ga"
gpt-5-nano-2025-08-07,Neuraxial,delirium_prevention,68,598,0.11371237458193979,11.37123745819398,"Excludes variable=delirium, preference_ga"
deepseek,General,hemodynamics,36,103,0.34951456310679613,34.95145631067961,Excludes variable=preference_ga
deepseek,Neuraxial,hemodynamics,46,497,0.0925553319919517,9.25553319919517,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,hemodynamics,0,36,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,hemodynamics,51,564,0.09042553191489362,9.042553191489363,Excludes variable=preference_ga
gpt-5-2025-08-07,General,hemodynamics,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,hemodynamics,181,600,0.3016666666666667,30.166666666666668,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,hemodynamics,4,7,0.5714285714285714,57.14285714285714,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,hemodynamics,346,593,0.5834738617200674,58.34738617200674,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,hemodynamics,0,2,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,hemodynamics,359,598,0.6003344481605352,60.03344481605352,Excludes variable=preference_ga
deepseek,General,mobilization,0,103,0.0,0.0,Excludes variable=preference_ga
deepseek,Neuraxial,mobilization,0,497,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,mobilization,0,36,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,mobilization,12,564,0.02127659574468085,2.127659574468085,Excludes variable=preference_ga
gpt-5-2025-08-07,General,mobilization,0,0,0.0,0.0,
gpt-5-2025-08-07,Neuraxial,mobilization,6,600,0.01,1.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,mobilization,0,7,0.0,0.0,Excludes variable=preference_ga
