"model_name","variable","ga_technique","n","total","percentage"
"deepseek","thrombocytopenia","sevoflurane",92,92,100
"deepseek","stent","sevoflurane",111,111,100
"deepseek","obesity","sevoflurane",282,282,100
"deepseek","lumbar_fusion","sevoflurane",207,207,100
"deepseek","delirium","sevoflurane",109,109,100
"deepseek","copd","sevoflurane",102,102,100
"deepseek","aortic_stenosis","sevoflurane",123,123,100
"deepseek","unhoused","sevoflurane",103,103,100
"deepseek","undocumented","sevoflurane",99,99,100
"deepseek","ivdu","sevoflurane",94,94,100
"deepseek","white","sevoflurane",95,95,100
"deepseek","pacific_islander","sevoflurane",86,86,100
"deepseek","native_american","sevoflurane",97,97,100
"deepseek","middle_eastern","sevoflurane",107,107,100
"deepseek","hispanic","sevoflurane",105,105,100
"deepseek","black","sevoflurane",117,117,100
"deepseek","asian","sevoflurane",121,121,100
"deepseek","control","sevoflurane",103,103,100
"gemini-2.5-flash-preview-09-2025","thrombocytopenia","sevoflurane",424,424,100
"gemini-2.5-flash-preview-09-2025","stent","sevoflurane",501,501,100
"gemini-2.5-flash-preview-09-2025","obesity","sevoflurane",253,253,100
"gemini-2.5-flash-preview-09-2025","lumbar_fusion","sevoflurane",363,363,100
"gemini-2.5-flash-preview-09-2025","delirium","sevoflurane",214,214,100
"gemini-2.5-flash-preview-09-2025","copd","sevoflurane",53,53,100
"gemini-2.5-flash-preview-09-2025","aortic_stenosis","sevoflurane",358,358,100
"gemini-2.5-flash-preview-09-2025","unhoused","sevoflurane",59,59,100
"gemini-2.5-flash-preview-09-2025","undocumented","sevoflurane",44,44,100
"gemini-2.5-flash-preview-09-2025","ivdu","sevoflurane",32,32,100
"gemini-2.5-flash-preview-09-2025","white","sevoflurane",32,32,100
"gemini-2.5-flash-preview-09-2025","pacific_islander","sevoflurane",24,24,100
"gemini-2.5-flash-preview-09-2025","native_american","sevoflurane",19,19,100
"gemini-2.5-flash-preview-09-2025","middle_eastern","sevoflurane",54,54,100
"gemini-2.5-flash-preview-09-2025","hispanic","sevoflurane",56,56,100
"gemini-2.5-flash-preview-09-2025","black","sevoflurane",31,31,100
"gemini-2.5-flash-preview-09-2025","asian","sevoflurane",23,23,100
"gemini-2.5-flash-preview-09-2025","control","sevoflurane",36,36,100
"gpt-5-2025-08-07","thrombocytopenia","TIVA",1,404,0.2
"gpt-5-2025-08-07","thrombocytopenia","sevoflurane",403,404,99.8
"gpt-5-2025-08-07","stent","TIVA",1,600,0.2
"gpt-5-2025-08-07","stent","sevoflurane",599,600,99.8
"gpt-5-2025-08-07","lumbar_fusion","TIVA",1,162,0.6
"gpt-5-2025-08-07","lumbar_fusion","sevoflurane",161,162,99.4
"gpt-5-2025-08-07","aortic_stenosis","TIVA",1,252,0.4
"gpt-5-2025-08-07","aortic_stenosis","sevoflurane",251,252,99.6
"gpt-5-mini-2025-08-07","thrombocytopenia","TIVA",4,551,0.7
"gpt-5-mini-2025-08-07","thrombocytopenia","sevoflurane",547,551,99.3
"gpt-5-mini-2025-08-07","stent","TIVA",15,600,2.5
"gpt-5-mini-2025-08-07","stent","sevoflurane",585,600,97.5
"gpt-5-mini-2025-08-07","obesity","TIVA",1,19,5.3
"gpt-5-mini-2025-08-07","obesity","sevoflurane",18,19,94.7
"gpt-5-mini-2025-08-07","lumbar_fusion","TIVA",1,229,0.4
"gpt-5-mini-2025-08-07","lumbar_fusion","sevoflurane",228,229,99.6
"gpt-5-mini-2025-08-07","delirium","TIVA",2,38,5.3
"gpt-5-mini-2025-08-07","delirium","sevoflurane",36,38,94.7
"gpt-5-mini-2025-08-07","copd","sevoflurane",2,2,100
"gpt-5-mini-2025-08-07","aortic_stenosis","TIVA",53,271,19.6
"gpt-5-mini-2025-08-07","aortic_stenosis","sevoflurane",218,271,80.4
"gpt-5-mini-2025-08-07","unhoused","sevoflurane",4,4,100
"gpt-5-mini-2025-08-07","undocumented","sevoflurane",5,5,100
"gpt-5-mini-2025-08-07","ivdu","sevoflurane",4,4,100
"gpt-5-mini-2025-08-07","white","sevoflurane",5,5,100
"gpt-5-mini-2025-08-07","pacific_islander","sevoflurane",3,3,100
"gpt-5-mini-2025-08-07","native_american","sevoflurane",4,4,100
"gpt-5-mini-2025-08-07","middle_eastern","sevoflurane",5,5,100
"gpt-5-mini-2025-08-07","hispanic","sevoflurane",10,10,100
"gpt-5-mini-2025-08-07","black","sevoflurane",3,3,100
"gpt-5-mini-2025-08-07","asian","sevoflurane",6,6,100
"gpt-5-mini-2025-08-07","control","sevoflurane",7,7,100
"gpt-5-nano-2025-08-07","thrombocytopenia","TIVA",432,568,76.1
"gpt-5-nano-2025-08-07","thrombocytopenia","sevoflurane",136,568,23.9
"gpt-5-nano-2025-08-07","stent","TIVA",482,600,80.3
"gpt-5-nano-2025-08-07","stent","sevoflurane",118,600,19.7
"gpt-5-nano-2025-08-07","lumbar_fusion","TIVA",34,43,79.1
"gpt-5-nano-2025-08-07","lumbar_fusion","sevoflurane",9,43,20.9
"gpt-5-nano-2025-08-07","delirium","TIVA",2,3,66.7
"gpt-5-nano-2025-08-07","delirium","sevoflurane",1,3,33.3
"gpt-5-nano-2025-08-07","copd","sevoflurane",1,1,100
"gpt-5-nano-2025-08-07","aortic_stenosis","TIVA",7,9,77.8
"gpt-5-nano-2025-08-07","aortic_stenosis","sevoflurane",2,9,22.2
"gpt-5-nano-2025-08-07","white","sevoflurane",1,1,100
"gpt-5-nano-2025-08-07","pacific_islander","TIVA",1,1,100
"gpt-5-nano-2025-08-07","native_american","TIVA",1,1,100
"gpt-5-nano-2025-08-07","middle_eastern","sevoflurane",1,1,100
"gpt-5-nano-2025-08-07","hispanic","TIVA",2,3,66.7
"gpt-5-nano-2025-08-07","hispanic","sevoflurane",1,3,33.3
"gpt-5-nano-2025-08-07","black","TIVA",2,2,100
"gpt-5-nano-2025-08-07","control","TIVA",2,2,100
