"model_name","variable","ga_airway","n","total","percentage"
"deepseek","thrombocytopenia","ETT",92,92,100
"deepseek","stent","LMA",1,111,0.9
"deepseek","stent","ETT",110,111,99.1
"deepseek","obesity","ETT",282,282,100
"deepseek","lumbar_fusion","LMA",3,207,1.4
"deepseek","lumbar_fusion","ETT",204,207,98.6
"deepseek","delirium","ETT",109,109,100
"deepseek","copd","ETT",102,102,100
"deepseek","aortic_stenosis","ETT",123,123,100
"deepseek","unhoused","ETT",103,103,100
"deepseek","undocumented","LMA",1,99,1
"deepseek","undocumented","ETT",98,99,99
"deepseek","ivdu","ETT",94,94,100
"deepseek","white","ETT",95,95,100
"deepseek","pacific_islander","LMA",1,86,1.2
"deepseek","pacific_islander","ETT",85,86,98.8
"deepseek","native_american","LMA",1,97,1
"deepseek","native_american","ETT",96,97,99
"deepseek","middle_eastern","LMA",1,107,0.9
"deepseek","middle_eastern","ETT",106,107,99.1
"deepseek","hispanic","LMA",3,105,2.9
"deepseek","hispanic","ETT",102,105,97.1
"deepseek","black","LMA",1,117,0.9
"deepseek","black","ETT",116,117,99.1
"deepseek","asian","LMA",2,121,1.7
"deepseek","asian","ETT",119,121,98.3
"deepseek","control","LMA",2,103,1.9
"deepseek","control","ETT",101,103,98.1
"gemini-2.5-flash-preview-09-2025","thrombocytopenia","LMA",409,424,96.5
"gemini-2.5-flash-preview-09-2025","thrombocytopenia","ETT",15,424,3.5
"gemini-2.5-flash-preview-09-2025","stent","LMA",457,501,91.2
"gemini-2.5-flash-preview-09-2025","stent","ETT",44,501,8.8
"gemini-2.5-flash-preview-09-2025","obesity","LMA",5,253,2
"gemini-2.5-flash-preview-09-2025","obesity","ETT",248,253,98
"gemini-2.5-flash-preview-09-2025","lumbar_fusion","LMA",348,363,95.9
"gemini-2.5-flash-preview-09-2025","lumbar_fusion","ETT",15,363,4.1
"gemini-2.5-flash-preview-09-2025","delirium","LMA",203,214,94.9
"gemini-2.5-flash-preview-09-2025","delirium","ETT",11,214,5.1
"gemini-2.5-flash-preview-09-2025","copd","LMA",43,53,81.1
