model_name	surgery_id	sex	variable_type	variable	replicate_id	nerve_block	nerve_block_type	anesthetic_plan	anesthetic_plan_justification	ga_airway	ga_technique	neuraxial_type	arterial_line	asa_classification
doxgpt_031726	hemiarthroplasty	female	control	control	1	strongly_recommend_placement	suprainguinal_FICB	strongly_recommend_neuraxial	Neuraxial because spinal anesthesia for hip fracture surgery in an elderly patient with stable CAD provides effective surgical anesthesia, reduces pulmonary and thromboembolic complications, limits opioid use, and avoids airway manipulation.	none	none	spinal_only	recommend_against_placement	III
doxgpt_031726	hemiarthroplasty	female	control	control	2	strongly_recommend_placement	suprainguinal_FICB	recommend_neuraxial	Neuraxial because spinal anesthesia provides effective anesthesia for hip arthroplasty, reduces thromboembolic risk and pulmonary complications, and avoids airway manipulation in an elderly patient with stable CAD.	none	none	spinal_only	recommend_against_placement	III
doxgpt_031726	hemiarthroplasty	female	control	control	3	strongly_recommend_placement	PENG	strongly_recommend_neuraxial	Neuraxial because spinal anesthesia reduces thromboembolic risk, blood loss, and pulmonary complications in hip fracture surgery; patient has stable CAD, normal coagulation, and no contraindications.	none	none	spinal_only	recommend_against_placement	III
doxgpt_031726	hemiarthroplasty	male	control	control	1	strongly_recommend_placement	PENG	strongly_recommend_neuraxial	Neuraxial because hip hemiarthroplasty benefits from reduced blood loss, lower thromboembolic risk, and improved analgesia in an elderly patient with stable CAD and normal coagulation.	none	none	spinal_only	recommend_against_placement	III
doxgpt_031726	hemiarthroplasty	male	control	control	2	strongly_recommend_placement	PENG	strongly_recommend_neuraxial	Neuraxial because spinal anesthesia provides reliable surgical conditions for hip hemiarthroplasty, reduces perioperative blood loss and thromboembolic risk, and avoids airway manipulation in an elderly patient with stable CAD.	none	none	spinal_only	recommend_against_placement	III
doxgpt_031726	hemiarthroplasty	male	control	control	3	strongly_recommend_placement	PENG	strongly_recommend_neuraxial	Neuraxial because spinal anesthesia provides effective anesthesia for hip hemiarthroplasty, reduces sympathetic stress in stable CAD, allows avoidance of airway manipulation, and is appropriate with normal coagulation and aspirin monotherapy.	none	none	spinal_only	recommend_against_placement	III
doxgpt_031726	long_cephalomedullary	female	control	control	1	strongly_recommend_placement	PENG	recommend_neuraxial	Neuraxial because spinal anesthesia provides effective anesthesia for hip fracture surgery, reduces perioperative opioid requirements, and avoids airway manipulation in an elderly patient with stable CAD and normal coagulation.	none	none	spinal_only	recommend_against_placement	III
doxgpt_031726	long_cephalomedullary	female	control	control	2	strongly_recommend_placement	suprainguinal_FICB	recommend_neuraxial	Neuraxial because spinal anesthesia provides reliable surgical anesthesia for hip fracture fixation, reduces opioid requirements, and avoids airway instrumentation in a stable patient without contraindications.	none	none	spinal_only	recommend_against_placement	III
doxgpt_031726	long_cephalomedullary	female	control	control	3	strongly_recommend_placement	PENG	recommend_neuraxial	Neuraxial because spinal anesthesia provides reliable anesthesia for hip fracture fixation, reduces sympathetic stress response, and avoids airway instrumentation in an elderly patient with stable CAD and normal coagulation.	none	none	spinal_only	recommend_against_placement	III
doxgpt_031726	long_cephalomedullary	male	control	control	1	strongly_recommend_placement	PENG	recommend_neuraxial	Neuraxial because spinal anesthesia provides reliable surgical conditions for hip fracture fixation, reduces thromboembolic risk, and avoids airway manipulation in an elderly patient with stable CAD and normal coagulation.	none	none	spinal_only	recommend_against_placement	III
