"model_name","surgery_id","nerve_block_type","n","total","percentage"
"deepseek","total_hip","PENG",91,1760,5.2
"deepseek","total_hip","suprainguinal_FICB",1668,1760,94.8
"deepseek","total_hip","femoral",1,1760,0.1
"deepseek","hemiarthroplasty","PENG",162,1780,9.1
"deepseek","hemiarthroplasty","suprainguinal_FICB",1596,1780,89.7
"deepseek","hemiarthroplasty","femoral",22,1780,1.2
"deepseek","long_cephalomedullary","PENG",31,1754,1.8
"deepseek","long_cephalomedullary","suprainguinal_FICB",1553,1754,88.5
"deepseek","long_cephalomedullary","femoral",170,1754,9.7
"deepseek","short_cephalomedullary","PENG",174,1752,9.9
"deepseek","short_cephalomedullary","suprainguinal_FICB",1450,1752,82.8
"deepseek","short_cephalomedullary","femoral",128,1752,7.3
"deepseek","sliding_hip_screw","PENG",31,1736,1.8
"deepseek","sliding_hip_screw","suprainguinal_FICB",1192,1736,68.7
"deepseek","sliding_hip_screw","femoral",513,1736,29.6
"deepseek","percutaneous_screws","PENG",82,1691,4.8
"deepseek","percutaneous_screws","suprainguinal_FICB",1232,1691,72.9
"deepseek","percutaneous_screws","femoral",377,1691,22.3
"gemini-2.5-flash-preview-09-2025","total_hip","PENG",1735,1783,97.3
"gemini-2.5-flash-preview-09-2025","total_hip","suprainguinal_FICB",48,1783,2.7
"gemini-2.5-flash-preview-09-2025","hemiarthroplasty","PENG",1437,1793,80.1
"gemini-2.5-flash-preview-09-2025","hemiarthroplasty","suprainguinal_FICB",355,1793,19.8
"gemini-2.5-flash-preview-09-2025","hemiarthroplasty","infrainguinal_FICB",1,1793,0.1
"gemini-2.5-flash-preview-09-2025","long_cephalomedullary","PENG",1462,1779,82.2
"gemini-2.5-flash-preview-09-2025","long_cephalomedullary","suprainguinal_FICB",316,1779,17.8
"gemini-2.5-flash-preview-09-2025","long_cephalomedullary","infrainguinal_FICB",1,1779,0.1
"gemini-2.5-flash-preview-09-2025","short_cephalomedullary","PENG",1355,1789,75.7
"gemini-2.5-flash-preview-09-2025","short_cephalomedullary","suprainguinal_FICB",434,1789,24.3
"gemini-2.5-flash-preview-09-2025","sliding_hip_screw","PENG",1297,1794,72.3
"gemini-2.5-flash-preview-09-2025","sliding_hip_screw","suprainguinal_FICB",497,1794,27.7
"gemini-2.5-flash-preview-09-2025","percutaneous_screws","PENG",1544,1789,86.3
"gemini-2.5-flash-preview-09-2025","percutaneous_screws","suprainguinal_FICB",245,1789,13.7
"gpt-5-2025-08-07","total_hip","PENG",1517,1789,84.8
"gpt-5-2025-08-07","total_hip","suprainguinal_FICB",223,1789,12.5
"gpt-5-2025-08-07","total_hip","infrainguinal_FICB",39,1789,2.2
"gpt-5-2025-08-07","total_hip","femoral",10,1789,0.6
"gpt-5-2025-08-07","hemiarthroplasty","PENG",987,1798,54.9
"gpt-5-2025-08-07","hemiarthroplasty","suprainguinal_FICB",772,1798,42.9
"gpt-5-2025-08-07","hemiarthroplasty","infrainguinal_FICB",34,1798,1.9
"gpt-5-2025-08-07","hemiarthroplasty","femoral",5,1798,0.3
"gpt-5-2025-08-07","long_cephalomedullary","PENG",929,1798,51.7
"gpt-5-2025-08-07","long_cephalomedullary","suprainguinal_FICB",844,1798,46.9
"gpt-5-2025-08-07","long_cephalomedullary","infrainguinal_FICB",18,1798,1
"gpt-5-2025-08-07","long_cephalomedullary","femoral",7,1798,0.4
"gpt-5-2025-08-07","short_cephalomedullary","PENG",1172,1800,65.1
"gpt-5-2025-08-07","short_cephalomedullary","suprainguinal_FICB",595,1800,33.1
"gpt-5-2025-08-07","short_cephalomedullary","infrainguinal_FICB",30,1800,1.7
"gpt-5-2025-08-07","short_cephalomedullary","femoral",3,1800,0.2
"gpt-5-2025-08-07","sliding_hip_screw","PENG",772,1800,42.9
"gpt-5-2025-08-07","sliding_hip_screw","suprainguinal_FICB",996,1800,55.3
"gpt-5-2025-08-07","sliding_hip_screw","infrainguinal_FICB",30,1800,1.7
"gpt-5-2025-08-07","sliding_hip_screw","femoral",2,1800,0.1
"gpt-5-2025-08-07","percutaneous_screws","PENG",1468,1799,81.6
