"model_name","surgery_id","ga_technique","n","total","percentage"
"deepseek","total_hip","sevoflurane",20,20,100
"deepseek","hemiarthroplasty","sevoflurane",62,62,100
"deepseek","long_cephalomedullary","sevoflurane",1159,1159,100
"deepseek","short_cephalomedullary","sevoflurane",502,502,100
"deepseek","sliding_hip_screw","sevoflurane",217,217,100
"deepseek","percutaneous_screws","sevoflurane",193,193,100
"gemini-2.5-flash-preview-09-2025","total_hip","sevoflurane",362,362,100
"gemini-2.5-flash-preview-09-2025","hemiarthroplasty","sevoflurane",414,414,100
"gemini-2.5-flash-preview-09-2025","long_cephalomedullary","sevoflurane",793,793,100
"gemini-2.5-flash-preview-09-2025","short_cephalomedullary","sevoflurane",313,313,100
"gemini-2.5-flash-preview-09-2025","sliding_hip_screw","sevoflurane",272,272,100
"gemini-2.5-flash-preview-09-2025","percutaneous_screws","sevoflurane",422,422,100
"gpt-5-2025-08-07","total_hip","sevoflurane",248,248,100
"gpt-5-2025-08-07","hemiarthroplasty","sevoflurane",217,217,100
"gpt-5-2025-08-07","long_cephalomedullary","sevoflurane",264,264,100
"gpt-5-2025-08-07","short_cephalomedullary","TIVA",1,233,0.4
"gpt-5-2025-08-07","short_cephalomedullary","sevoflurane",232,233,99.6
"gpt-5-2025-08-07","sliding_hip_screw","TIVA",1,196,0.5
"gpt-5-2025-08-07","sliding_hip_screw","sevoflurane",195,196,99.5
"gpt-5-2025-08-07","percutaneous_screws","TIVA",2,260,0.8
"gpt-5-2025-08-07","percutaneous_screws","sevoflurane",258,260,99.2
"gpt-5-mini-2025-08-07","total_hip","TIVA",4,243,1.6
"gpt-5-mini-2025-08-07","total_hip","sevoflurane",239,243,98.4
"gpt-5-mini-2025-08-07","hemiarthroplasty","TIVA",4,229,1.7
"gpt-5-mini-2025-08-07","hemiarthroplasty","sevoflurane",225,229,98.3
"gpt-5-mini-2025-08-07","long_cephalomedullary","TIVA",27,454,5.9
"gpt-5-mini-2025-08-07","long_cephalomedullary","sevoflurane",427,454,94.1
"gpt-5-mini-2025-08-07","short_cephalomedullary","TIVA",12,290,4.1
"gpt-5-mini-2025-08-07","short_cephalomedullary","sevoflurane",278,290,95.9
"gpt-5-mini-2025-08-07","sliding_hip_screw","TIVA",5,271,1.8
"gpt-5-mini-2025-08-07","sliding_hip_screw","sevoflurane",266,271,98.2
"gpt-5-mini-2025-08-07","percutaneous_screws","TIVA",24,279,8.6
"gpt-5-mini-2025-08-07","percutaneous_screws","sevoflurane",255,279,91.4
"gpt-5-nano-2025-08-07","total_hip","TIVA",149,200,74.5
"gpt-5-nano-2025-08-07","total_hip","sevoflurane",51,200,25.5
"gpt-5-nano-2025-08-07","hemiarthroplasty","TIVA",147,199,73.9
"gpt-5-nano-2025-08-07","hemiarthroplasty","sevoflurane",52,199,26.1
"gpt-5-nano-2025-08-07","long_cephalomedullary","TIVA",164,203,80.8
"gpt-5-nano-2025-08-07","long_cephalomedullary","sevoflurane",39,203,19.2
"gpt-5-nano-2025-08-07","short_cephalomedullary","TIVA",153,205,74.6
"gpt-5-nano-2025-08-07","short_cephalomedullary","sevoflurane",52,205,25.4
"gpt-5-nano-2025-08-07","sliding_hip_screw","TIVA",164,205,80
"gpt-5-nano-2025-08-07","sliding_hip_screw","sevoflurane",41,205,20
"gpt-5-nano-2025-08-07","percutaneous_screws","TIVA",188,223,84.3
"gpt-5-nano-2025-08-07","percutaneous_screws","sevoflurane",35,223,15.7
