"model_name","surgery_id","neuraxial_type","n","total","percentage"
"deepseek","total_hip","spinal_only",1780,1780,100
"deepseek","hemiarthroplasty","spinal_only",1738,1738,100
"deepseek","long_cephalomedullary","spinal_only",640,641,99.8
"deepseek","long_cephalomedullary","combined_spinal_epidural",1,641,0.2
"deepseek","short_cephalomedullary","spinal_only",1298,1298,100
"deepseek","sliding_hip_screw","spinal_only",1583,1583,100
"deepseek","percutaneous_screws","spinal_only",1607,1607,100
"gemini-2.5-flash-preview-09-2025","total_hip","spinal_only",1438,1438,100
"gemini-2.5-flash-preview-09-2025","hemiarthroplasty","spinal_only",1385,1386,99.9
"gemini-2.5-flash-preview-09-2025","hemiarthroplasty","combined_spinal_epidural",1,1386,0.1
"gemini-2.5-flash-preview-09-2025","long_cephalomedullary","spinal_only",1003,1007,99.6
"gemini-2.5-flash-preview-09-2025","long_cephalomedullary","combined_spinal_epidural",4,1007,0.4
"gemini-2.5-flash-preview-09-2025","short_cephalomedullary","spinal_only",1487,1487,100
"gemini-2.5-flash-preview-09-2025","sliding_hip_screw","spinal_only",1528,1528,100
"gemini-2.5-flash-preview-09-2025","percutaneous_screws","spinal_only",1378,1378,100
"gpt-5-2025-08-07","total_hip","spinal_only",1416,1552,91.2
"gpt-5-2025-08-07","total_hip","combined_spinal_epidural",136,1552,8.8
"gpt-5-2025-08-07","hemiarthroplasty","spinal_only",1526,1583,96.4
"gpt-5-2025-08-07","hemiarthroplasty","combined_spinal_epidural",57,1583,3.6
"gpt-5-2025-08-07","long_cephalomedullary","spinal_only",1257,1536,81.8
"gpt-5-2025-08-07","long_cephalomedullary","combined_spinal_epidural",279,1536,18.2
"gpt-5-2025-08-07","short_cephalomedullary","spinal_only",1524,1567,97.3
"gpt-5-2025-08-07","short_cephalomedullary","combined_spinal_epidural",43,1567,2.7
"gpt-5-2025-08-07","sliding_hip_screw","spinal_only",1546,1604,96.4
"gpt-5-2025-08-07","sliding_hip_screw","epidural_only",1,1604,0.1
"gpt-5-2025-08-07","sliding_hip_screw","combined_spinal_epidural",57,1604,3.6
"gpt-5-2025-08-07","percutaneous_screws","spinal_only",1501,1540,97.5
"gpt-5-2025-08-07","percutaneous_screws","combined_spinal_epidural",39,1540,2.5
"gpt-5-mini-2025-08-07","total_hip","spinal_only",1532,1557,98.4
"gpt-5-mini-2025-08-07","total_hip","combined_spinal_epidural",25,1557,1.6
"gpt-5-mini-2025-08-07","hemiarthroplasty","spinal_only",1552,1571,98.8
"gpt-5-mini-2025-08-07","hemiarthroplasty","epidural_only",1,1571,0.1
"gpt-5-mini-2025-08-07","hemiarthroplasty","combined_spinal_epidural",18,1571,1.1
"gpt-5-mini-2025-08-07","long_cephalomedullary","spinal_only",1214,1346,90.2
"gpt-5-mini-2025-08-07","long_cephalomedullary","epidural_only",1,1346,0.1
"gpt-5-mini-2025-08-07","long_cephalomedullary","combined_spinal_epidural",131,1346,9.7
"gpt-5-mini-2025-08-07","short_cephalomedullary","spinal_only",1500,1510,99.3
"gpt-5-mini-2025-08-07","short_cephalomedullary","combined_spinal_epidural",10,1510,0.7
"gpt-5-mini-2025-08-07","sliding_hip_screw","spinal_only",1514,1529,99
"gpt-5-mini-2025-08-07","sliding_hip_screw","epidural_only",2,1529,0.1
"gpt-5-mini-2025-08-07","sliding_hip_screw","combined_spinal_epidural",13,1529,0.9
"gpt-5-mini-2025-08-07","percutaneous_screws","spinal_only",1516,1521,99.7
"gpt-5-mini-2025-08-07","percutaneous_screws","combined_spinal_epidural",5,1521,0.3
"gpt-5-nano-2025-08-07","total_hip","spinal_only",1143,1600,71.4
"gpt-5-nano-2025-08-07","total_hip","combined_spinal_epidural",457,1600,28.6
"gpt-5-nano-2025-08-07","hemiarthroplasty","spinal_only",1414,1601,88.3
"gpt-5-nano-2025-08-07","hemiarthroplasty","epidural_only",1,1601,0.1
"gpt-5-nano-2025-08-07","hemiarthroplasty","combined_spinal_epidural",186,1601,11.6
"gpt-5-nano-2025-08-07","long_cephalomedullary","spinal_only",1352,1597,84.7
"gpt-5-nano-2025-08-07","long_cephalomedullary","epidural_only",2,1597,0.1
"gpt-5-nano-2025-08-07","long_cephalomedullary","combined_spinal_epidural",243,1597,15.2
"gpt-5-nano-2025-08-07","short_cephalomedullary","spinal_only",1486,1595,93.2
"gpt-5-nano-2025-08-07","short_cephalomedullary","epidural_only",2,1595,0.1
"gpt-5-nano-2025-08-07","short_cephalomedullary","combined_spinal_epidural",107,1595,6.7
"gpt-5-nano-2025-08-07","sliding_hip_screw","spinal_only",1490,1595,93.4
"gpt-5-nano-2025-08-07","sliding_hip_screw","epidural_only",3,1595,0.2
"gpt-5-nano-2025-08-07","sliding_hip_screw","combined_spinal_epidural",102,1595,6.4
"gpt-5-nano-2025-08-07","percutaneous_screws","spinal_only",1537,1577,97.5
"gpt-5-nano-2025-08-07","percutaneous_screws","epidural_only",1,1577,0.1
"gpt-5-nano-2025-08-07","percutaneous_screws","combined_spinal_epidural",39,1577,2.5
