model,plan,topic,count,total_applicable,prevalence,prevalence_pct,note
deepseek,General,age,151,2153,0.07013469577333953,7.013469577333953,Excludes variable=preference_ga
deepseek,Neuraxial,age,7388,8647,0.8544003700705447,85.44003700705447,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,age,58,2576,0.02251552795031056,2.251552795031056,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,age,4658,8224,0.5663910505836576,56.63910505836576,Excludes variable=preference_ga
gpt-5-2025-08-07,General,age,66,1418,0.0465444287729196,4.65444287729196,Excludes variable=preference_ga
gpt-5-2025-08-07,Neuraxial,age,4879,9382,0.5200383713493925,52.003837134939246,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,age,88,1766,0.04983012457531144,4.983012457531144,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,age,7062,9034,0.781713526676998,78.17135266769981,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,age,227,1235,0.18380566801619433,18.380566801619434,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,age,6733,9565,0.7039205436487193,70.39205436487192,Excludes variable=preference_ga
deepseek,General,airway_control,790,2153,0.36692986530422667,36.692986530422665,Excludes variable=preference_ga
deepseek,Neuraxial,airway_control,0,8647,0.0,0.0,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,airway_control,318,2576,0.1234472049689441,12.344720496894409,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,airway_control,0,8224,0.0,0.0,Excludes variable=preference_ga
gpt-5-2025-08-07,General,airway_control,769,1418,0.5423131170662906,54.23131170662906,Excludes variable=preference_ga
gpt-5-2025-08-07,Neuraxial,airway_control,0,9382,0.0,0.0,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,General,airway_control,1159,1766,0.6562853907134768,65.62853907134767,Excludes variable=preference_ga
gpt-5-mini-2025-08-07,Neuraxial,airway_control,0,9034,0.0,0.0,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,General,airway_control,506,1235,0.4097165991902834,40.97165991902834,Excludes variable=preference_ga
gpt-5-nano-2025-08-07,Neuraxial,airway_control,2,9565,0.00020909566126502875,0.020909566126502875,Excludes variable=preference_ga
deepseek,General,bleeding_risk,309,2153,0.14352066883418485,14.352066883418486,Excludes variable=preference_ga
deepseek,Neuraxial,bleeding_risk,394,8647,0.045564935815889905,4.556493581588991,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,General,bleeding_risk,851,2576,0.33035714285714285,33.035714285714285,Excludes variable=preference_ga
gemini-2.5-flash-preview-09-2025,Neuraxial,bleeding_risk,443,8224,0.05386673151750973,5.386673151750973,Excludes variable=preference_ga
