"outcome","model_name","category","n","total","proportion","percentage"
"nerve_block_type","deepseek","PENG",571,10473,0.0545211496228397,5.5
"nerve_block_type","deepseek","suprainguinal_FICB",8691,10473,0.829848181036952,83
"nerve_block_type","deepseek","femoral",1211,10473,0.115630669340208,11.6
"nerve_block_type","gemini-2.5-flash-preview-09-2025","PENG",8830,10727,0.823156520928498,82.3
"nerve_block_type","gemini-2.5-flash-preview-09-2025","suprainguinal_FICB",1895,10727,0.176657033653398,17.7
"nerve_block_type","gemini-2.5-flash-preview-09-2025","infrainguinal_FICB",2,10727,0.00018644541810385,0
"nerve_block_type","gpt-5-2025-08-07","PENG",6845,10784,0.634736646884273,63.5
"nerve_block_type","gpt-5-2025-08-07","suprainguinal_FICB",3722,10784,0.345140949554896,34.5
"nerve_block_type","gpt-5-2025-08-07","infrainguinal_FICB",184,10784,0.0170623145400593,1.7
"nerve_block_type","gpt-5-2025-08-07","femoral",33,10784,0.00306008902077151,0.3
"nerve_block_type","gpt-5-mini-2025-08-07","PENG",3000,10006,0.299820107935239,30
"nerve_block_type","gpt-5-mini-2025-08-07","suprainguinal_FICB",6965,10006,0.696082350589646,69.6
"nerve_block_type","gpt-5-mini-2025-08-07","infrainguinal_FICB",41,10006,0.00409754147511493,0.4
"nerve_block_type","gpt-5-nano-2025-08-07","PENG",15,44,0.340909090909091,34.1
"nerve_block_type","gpt-5-nano-2025-08-07","suprainguinal_FICB",25,44,0.568181818181818,56.8
"nerve_block_type","gpt-5-nano-2025-08-07","infrainguinal_FICB",3,44,0.0681818181818182,6.8
"nerve_block_type","gpt-5-nano-2025-08-07","femoral",1,44,0.0227272727272727,2.3
"ga_airway","deepseek","LMA",16,2153,0.00743149094287041,0.7
"ga_airway","deepseek","ETT",2137,2153,0.99256850905713,99.3
"ga_airway","gemini-2.5-flash-preview-09-2025","LMA",2187,2576,0.848990683229814,84.9
"ga_airway","gemini-2.5-flash-preview-09-2025","ETT",389,2576,0.151009316770186,15.1
"ga_airway","gpt-5-2025-08-07","LMA",236,1418,0.166431593794076,16.6
"ga_airway","gpt-5-2025-08-07","ETT",1182,1418,0.833568406205924,83.4
"ga_airway","gpt-5-mini-2025-08-07","LMA",10,1766,0.00566251415628539,0.6
"ga_airway","gpt-5-mini-2025-08-07","ETT",1756,1766,0.994337485843715,99.4
"ga_airway","gpt-5-nano-2025-08-07","LMA",14,1235,0.011336032388664,1.1
"ga_airway","gpt-5-nano-2025-08-07","ETT",1221,1235,0.988663967611336,98.9
"ga_technique","deepseek","sevoflurane",2153,2153,1,100
"ga_technique","gemini-2.5-flash-preview-09-2025","sevoflurane",2576,2576,1,100
"ga_technique","gpt-5-2025-08-07","TIVA",4,1418,0.00282087447108604,0.3
"ga_technique","gpt-5-2025-08-07","sevoflurane",1414,1418,0.997179125528914,99.7
"ga_technique","gpt-5-mini-2025-08-07","TIVA",76,1766,0.043035107587769,4.3
"ga_technique","gpt-5-mini-2025-08-07","sevoflurane",1690,1766,0.956964892412231,95.7
"ga_technique","gpt-5-nano-2025-08-07","TIVA",965,1235,0.781376518218624,78.1
"ga_technique","gpt-5-nano-2025-08-07","sevoflurane",270,1235,0.218623481781377,21.9
"neuraxial_type","deepseek","spinal_only",8646,8647,0.999884352954782,100
"neuraxial_type","deepseek","combined_spinal_epidural",1,8647,0.000115647045217995,0
"neuraxial_type","gemini-2.5-flash-preview-09-2025","spinal_only",8219,8224,0.999392023346304,99.9
"neuraxial_type","gemini-2.5-flash-preview-09-2025","combined_spinal_epidural",5,8224,0.000607976653696498,0.1
"neuraxial_type","gpt-5-2025-08-07","spinal_only",8770,9382,0.934768706032829,93.5
"neuraxial_type","gpt-5-2025-08-07","epidural_only",1,9382,0.000106587081645705,0
"neuraxial_type","gpt-5-2025-08-07","combined_spinal_epidural",611,9382,0.0651247068855255,6.5
"neuraxial_type","gpt-5-mini-2025-08-07","spinal_only",8828,9034,0.977197254815143,97.7
"neuraxial_type","gpt-5-mini-2025-08-07","epidural_only",4,9034,0.000442771751162276,0
"neuraxial_type","gpt-5-mini-2025-08-07","combined_spinal_epidural",202,9034,0.0223599734336949,2.2
"neuraxial_type","gpt-5-nano-2025-08-07","spinal_only",8422,9565,0.880501829587036,88.1
"neuraxial_type","gpt-5-nano-2025-08-07","epidural_only",9,9565,0.000940930475692629,0.1
"neuraxial_type","gpt-5-nano-2025-08-07","combined_spinal_epidural",1134,9565,0.118557239937271,11.9
